x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
1.755703946,2.993343392,7.974436428,4.304615473,-0.077001523,-0.328964744,819.0827893,1.3175489902496338,2.661646842956543,1.6006693840026855,1.2798211574554443,1.2184951305389404,1.3645918369293213,1.8933755159378052,2.965416193008423
1.905371115,2.963839904,8.189667201,3.772233106,-0.093449761,-0.327295851,823.5379655,1.4662278890609741,2.4072465896606445,1.414680004119873,1.1310837268829346,1.059818983078003,1.1787965297698975,1.611153483390808,2.8373258113861084
2.05356311,2.934632345,8.378278857,3.24493472,-0.109814553,-0.325069101,833.6119456,1.6641697883605957,2.1088037490844727,1.2167595624923706,0.9493826031684875,0.8901469707489014,0.9748629331588745,1.3122756481170654,2.5972752571105957
2.200294728,2.905690579,8.540525593,2.722975263,-0.126068008,-0.323496217,854.8073586,1.7774404287338257,1.978158712387085,1.1093906164169312,0.8692567944526672,0.8187815546989441,0.8879810571670532,1.1737984418869019,2.289656162261963
2.345579257,2.87700009,8.676674356,2.206354988,-0.142242819,-0.322739131,874.4808691,7.591653823852539,1.8636062145233154,1.021610975265503,0.78404700756073,0.7198178768157959,0.7890656590461731,1.0439046621322632,1.9534807205200195
2.489429261,2.848547319,8.786992105,1.695053899,-0.158379776,-0.322874833,898.362544,7.644707679748535,1.8051036596298218,0.986646831035614,0.7560817003250122,0.7017273902893066,0.7646899223327637,1.0028020143508911,1.8459742069244385
2.631856627,2.820273394,8.8717448,1.189326119,-0.174523517,-0.325136942,926.3713254,7.872811317443848,1.8389859199523926,0.9639843702316284,0.7256811857223511,0.6675201654434204,0.7210875749588013,0.9275299906730652,1.6562551259994507
2.772870297,2.792272838,8.931211106,0.688468631,-0.190780364,-0.32695895,954.5740594,3.2441775798797607,1.843849778175354,0.9650290012359619,0.720946192741394,0.659593939781189,0.7061266899108887,0.9104636311531067,1.6014070510864258
2.912483939,2.764561288,8.965634538,0.192338625,-0.207128312,-0.328658539,982.4967878,2.465961217880249,2.0681633949279785,1.0335760116577148,0.7731073498725891,0.7043852210044861,0.7359074950218201,0.9300618767738342,1.608383297920227
3.050712003,2.720206077,8.975251469,-0.21855245,-0.223561239,-0.307809691,1000.0,2.5743660926818848,2.2187137603759766,1.0803529024124146,0.7972306609153748,0.7126184701919556,0.7573387026786804,0.9620360136032104,1.6296255588531494
3.186722307,2.627989641,8.964323846,-0.41908932,-0.238951723,-0.26016653,1000.0,2.7525105476379395,2.5446224212646484,1.2064863443374634,0.8803696036338806,0.7883660793304443,0.8265572786331177,1.0273911952972412,1.5884586572647095
3.318121789,2.492226107,8.943369381,-0.454338715,-0.25196005,-0.201413663,1000.0,2.809462547302246,2.515376091003418,1.1924173831939697,0.8672316670417786,0.7803899645805359,0.8181104063987732,1.0203748941421509,1.5143485069274902
3.442733094,2.321922756,8.920652445,-0.374104294,-0.262030733,-0.136629894,1000.0,2.917952537536621,2.5934500694274902,1.2269426584243774,0.8856229782104492,0.7876850962638855,0.8295576572418213,1.0351049900054932,1.39739990234375
3.558829232,2.128447786,8.90194723,-0.224748189,-0.268862228,-0.072563681,1000.0,2.9881176948547363,2.5420849323272705,1.1977204084396362,0.8768513798713684,0.7795293927192688,0.8174476027488708,1.0166653394699097,1.3143657445907593
