x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
4.2999834388,0.1134188136,9.0028794643,0.004070579,0.1072845368,-0.1621386801,6.2273337944,6.2192680991,2.1729562282562256,0.9893747568130493,0.7030959129333496,0.6252771019935608,0.6545339822769165,0.8088868260383606,0.6600390672683716,0.5770989656448364
4.3056543797,0.0589736356,9.0030829942,0.0085333301,0.0991776033,-0.1627663808,6.2122120078,6.2063830718,2.320523262023926,1.023547887802124,0.7327794432640076,0.6433601379394531,0.6661800742149353,0.82001793384552,0.6640343070030212,0.5826951861381531
4.3086030616,0.0091986641,9.0035096617,0.0122521339,0.0910392847,-0.1615065244,6.1928406356,6.1889038576,2.388821601867676,1.0380851030349731,0.7373912930488586,0.6404644846916199,0.6594765782356262,0.8198783993721008,0.6654495000839233,0.5934117436408997
4.3090629949,-0.0359201191,9.0041222693,0.0148493852,0.0829639588,-0.1587172192,6.1711032549,6.1686527994,2.358060836791992,1.0107743740081787,0.7107488512992859,0.6286028027534485,0.6533016562461853,0.7883829474449158,0.668047308921814,0.5812152028083801
4.3072669889,-0.0764642634,9.0048647394,0.0160943614,0.0750280982,-0.1547941432,6.1490117676,6.1476427592,2.4655611515045166,1.0375925302505493,0.7314445376396179,0.637614905834198,0.6537103652954102,0.7924805283546448,0.6844496726989746,0.5944728255271912
4.3034437757,-0.1125690147,9.0056694584,0.0159171113,0.0672883913,-0.1501173036,6.1284792949,6.1278396912,2.538053274154663,1.0472036600112915,0.7263113856315613,0.6395138502120972,0.6431770920753479,0.7912704944610596,0.6958640217781067,0.5995492935180664
4.2978153249,-0.1444071004,9.0064653148,0.0144032523,0.0597825262,-0.145008398,6.111120824,6.1109444236,2.661628007888794,1.0712803602218628,0.7421175241470337,0.6457845568656921,0.6549943685531616,0.7894649505615234,0.7100192904472351,0.6132339239120483
4.2905949697,-0.1721726847,9.0071854782,0.0117715632,0.0525321064,-0.1397054995,6.0981040343,6.0982196581,2.631655693054199,1.053253173828125,0.7221446633338928,0.6263822913169861,0.6459387540817261,0.7682625651359558,0.7259612679481506,0.6251146793365479
4.2819863353,-0.1960675544,9.0077740572,0.0083383076,0.0455468315,-0.134358548,6.0900685585,6.0903852104,2.7509851455688477,1.0700851678848267,0.7349680066108704,0.6259472370147705,0.6452428698539734,0.7708490490913391,0.7373442649841309,0.6356009244918823
4.2721829573,-0.2162908411,9.0081909733,0.0044739459,0.038828904,-0.1290450293,6.0871198453,6.0875943305,2.8857457637786865,1.093417763710022,0.755800187587738,0.6423785090446472,0.6506599187850952,0.7751003503799438,0.7663171887397766,0.6461933255195618
4.261368415,-0.2330327097,9.0084146714,0.0005586666,0.0323766524,-0.1237996827,6.0888829214,6.0894839588,2.966007709503174,1.1058413982391357,0.7483569383621216,0.6415778398513794,0.6486805081367493,0.7761800289154053,0.778124988079071,0.6616451740264893
4.2497167792,-0.2464715916,9.0084426054,-0.0030577458,0.0261866681,-0.1186460135,6.0945814517,6.095267267,3.111029863357544,1.1409481763839722,0.7610443234443665,0.6489116549491882,0.6662489771842957,0.7749184966087341,0.8044135570526123,0.6900663375854492
4.2373931993,-0.256773918,9.0082897188,-0.0060889042,0.0202543672,-0.113615388,6.1031035128,6.1038219122,3.127356767654419,1.141849398612976,0.7594546675682068,0.6456923484802246,0.6583301424980164,0.7738897204399109,0.8186606764793396,0.6989187598228455
4.2245545031,-0.2640951424,9.0079852743,-0.0083383485,0.0145735975,-0.1087466769,6.1130343965,6.1137392693,3.2770209312438965,1.1575394868850708,0.7820813655853271,0.6583040356636047,0.6554844975471497,0.782588541507721,0.8369870185852051,0.7154614925384521
4.2113497456,-0.2685811997,9.0075683575,-0.0097224901,0.0091362633,-0.1040722203,6.1226712332,6.1233417824,3.234104871749878,1.1313905715942383,0.7623967528343201,0.642136812210083,0.6404044032096863,0.7603961825370789,0.8541985154151917,0.7223399877548218
4.1979206853,-0.270370191,9.0070822337,-0.0102919684,0.0039326519,-0.0996020483,6.1300794903,6.130738491,3.309439182281494,1.141646385192871,0.7706993222236633,0.6434910297393799,0.6450179815292358,0.7575974464416504,0.8763710260391235,0.7427445650100708
4.1844021753,-0.2695945324,9.0065676358,-0.0102482066,-0.001047451,-0.0953095041,6.1338775202,6.1346221446,3.5402896404266357,1.184876561164856,0.7899426817893982,0.6646360158920288,0.6589280366897583,0.7827144861221313,0.9103561639785767,0.7582529187202454
4.1709224483,-0.2663837045,9.006055226,-0.0098964131,-0.0058129267,-0.0911069349,6.1337493667,6.1347658245,3.428748846054077,1.1461783647537231,0.7558573484420776,0.634265124797821,0.6318925619125366,0.7407098412513733,0.9099644422531128,0.7632213830947876
4.1576032627,-0.260866242,9.0055604059,-0.0095585642,-0.0103682739,-0.0868357844,6.1293896162,6.1309834334,3.568652391433716,1.160351037979126,0.7664960026741028,0.636779248714447,0.631842851638794,0.7542060017585754,0.9290444850921631,0.7829223871231079
4.1445599502,-0.2531719053,9.0050824782,-0.00957096,-0.0147100636,-0.0822440252,6.1201579576,6.1227421617,3.7187771797180176,1.190993309020996,0.7760151624679565,0.656033456325531,0.6561410427093506,0.7572457194328308,0.9498173594474792,0.801729679107666
4.1319013546,-0.2434359144,9.0046039306,-0.0103110638,-0.0188222654,-0.0769995171,6.1071689049,6.1111460274,3.670159101486206,1.1739760637283325,0.7609100937843323,0.6392878293991089,0.6355720162391663,0.7356001138687134,0.9698493480682373,0.806396484375
4.1197295585,-0.2318028384,9.0040883777,-0.0120611717,-0.0226722417,-0.0707913498,6.0925698897,6.0981730898,3.8188869953155518,1.1904103755950928,0.7834320068359375,0.6550687551498413,0.6453661918640137,0.743570864200592,0.9843148589134216,0.8343245387077332
4.1081394162,-0.2184308694,9.0034853195,-0.0149329957,-0.0262118096,-0.0634614415,6.0783156311,6.0856127748,3.9579007625579834,1.2145333290100098,0.7963760495185852,0.6637846827507019,0.6575766801834106,0.7538205981254578,1.0092309713363647,0.8369081020355225
4.0972178724,-0.2034966163,9.00273867,-0.0188847547,-0.0293848821,-0.0549953959,6.0664921599,6.0756116951,3.8832755088806152,1.1895312070846558,0.772712230682373,0.6420271396636963,0.6390789151191711,0.7394247651100159,1.0244572162628174,0.8471687436103821
4.0870430412,-0.1871957163,9.0017944324,-0.0237034972,-0.0321346523,-0.045328873,6.0548317606,6.0659112249,3.9398298263549805,1.186112642288208,0.7763465642929077,0.6378995180130005,0.6405544281005859,0.7365080714225769,1.031111478805542,0.8566945195198059
4.0776832551,-0.16975218,9.0006092578,-0.0293573864,-0.0344010963,-0.0343923759,6.044708056,6.0571108594,4.0565266609191895,1.2139626741409302,0.7849410176277161,0.6557109355926514,0.653152585029602,0.744107186794281,1.0344514846801758,0.8621416687965393
4.0691956458,-0.1514126404,8.9991413886,-0.035734281,-0.0361207153,-0.0227641262,6.0347968084,6.0451256795,4.157757759094238,1.2461295127868652,0.7927755117416382,0.666843593120575,0.6564216017723083,0.7634290456771851,1.0492756366729736,0.8759295344352722
4.0616250135,-0.1324577747,8.9973546746,-0.0429380632,-0.0372589218,-0.013301182,6.0036499225,6.0113646567,4.052224636077881,1.219277262687683,0.7819926738739014,0.6469925045967102,0.6453930139541626,0.7441009283065796,1.0526905059814453,0.8804230093955994
