,x,y,theta,delta,vel,value,d1,d2,d3,d4,d5,d6,d7,d8
151,1.0621938748,3.8884125976,0.5782026183,4,5,-141.6596798239,0.7269902825,0.5588479638,0.5107716918,0.5463074446,0.7176200151,1.2923611403,4.9000673294,1.0583994389
152,4.8499628166,-4.128347665,-2.6818095398,1,2,-361.0568525899,10,10,10,10,10,10,10,5.7290301323
153,3.1211804124,3.5659683589,1.8261453555,2,3,566.1028130294,0.6782574058,1.1590571404,2.5127630234,1.3325568438,0.6092205048,0.4963083565,0.5219250917,0.6384927034
154,4.5241345726,-4.7460346161,-2.0927156755,3,4,-667.2293098123,7.1647305489,6.7891554832,7.5557599068,10.2651329041,20.9686412811,10,10,10
155,1.7080800198,4.6241489199,-2.7941897459,4,5,583.1935395595,10,10,0.3878445625,0.3250499368,0.3215940595,0.3899227381,0.6489362717,0.6662356853
156,-0.9327258086,3.9644949117,1.7289405178,1,2,884.7677707116,0.4650613368,0.5961800218,1.0934411287,1.8190329075,10,0.6753051281,0.505505681,0.4624781907
157,3.7235867572,-4.5922048472,0.9163883366,2,3,-205.3120241993,10,1.1270513535,0.9639922976,1.0691250563,1.5563360453,2.5227587223,10,10
158,4.5494666405,-4.76456048,0.8305751236,3,4,-400.7792168713,10,10,1.6928800344,1.5326566696,1.8006638288,3.3119359016,10,8.0014095306
159,4.2555565337,-4.8047739827,2.3856536051,4,5,-308.8183912766,1.7300792933,3.0323331356,10,10,10,10,10,10
160,1.8573137358,0.0897621462,1.3428643618,5,6,-401.0376552449,0.8875447512,1.5426216125,2.8564770222,0.7553126812,0.4229487181,1.4663453102,1.293700099,1.1233402491
161,2.4179690611,1.3869857151,0.2274652194,1,2,-987.6585679305,0.2985919416,0.341240555,0.4360612929,0.6148600578,0.9052319527,1.3321586847,1.0325857401,0.637357235
